ID,Placa,identificación plataforma,hardware,restaurante,
,1049229-52,eb0f7e40-85cd-4d25-a43e-ef56b8a2dbcc,EXPG3.1,H-96,
16505084,1061448-04,123eb1f7-3685-4e70-9cd2-4a2caed75fae,EXPG3.1,H-75,
13813468,1049230-33,5672ff0d-5b62-4b90-a20d-1e07761552cb,EXPG3.1,H-96,
16509784,1003241-64,4dfbe685-0981-4482-9942-c13d2bf45cdd,EXPG3.1,H-96,
13930212,1054373-83,9b486964-a28a-4143-9e33-4915735c8bb9,EXPG3.1,H-96,
4742168,1003209-14,786dfde6-0c50-44ca-8bb7-586806d74c76,EXPG3.1,,
1603524,1061446-60,aaaaea42-ab19-429b-8c03-310f18244178,EXPG3.1,H-75,
13935504,1049231-05,eb0f7e40-85cd-4d25-a43e-ef56b8a2dbcc,EXPG3.1,H-96,
4757556,1043653-89,cce82f58-1854-456a-af0f-f53874bafc00,EXPG3.1,H-90,
13932420,1048546-02,20d254e8-4873-40fb-b0eb-91fbd7fe3b19,EXPG3.1,H-90,
